campanha,servico,plataforma,inicio,fim,investimento,cliques,impressoes,ctr,leads,cpl,conversoes,cpa,receita,roi,automacoes_executadas,posts_publicados,engajamento
Black Friday - Google,Social Media,Google Ads,2024-11-20,2024-11-30,5202.39,3985,172900,2.3,412,12.63,62,83.91,72734.21,1298.09,0,12,11.65
Anúncio Institucional - Email,Tráfego Pago,Email Marketing,2024-03-28,2024-05-23,4967.85,21727,220864,9.84,7203,0.69,4762,1.04,2072173.29,41611.67,0,0,0.0
Lançamento Produto - Facebook,Social Media,Facebook Ads,2025-03-01,2025-04-06,1408.9,3759,300083,1.25,153,9.21,82,17.18,133223.58,9355.86,0,21,0.5
Campanha de Conversão - Email,Automações,Email Marketing,2024-09-23,2024-10-05,5998.12,16498,409995,4.02,5791,1.04,4308,1.39,2389263.65,39733.54,44,0,0.0
Lançamento Produto - Instagram,Tráfego Pago,Instagram Ads,2023-02-28,2023-04-12,6569.45,33687,219635,15.34,7239,0.91,3659,1.8,5210843.4,79219.33,0,0,0.0
Black Friday - Facebook,Copywriting,Facebook Ads,2023-09-17,2023-11-12,5229.72,20253,204582,9.9,2432,2.15,1040,5.03,72382.14,1284.05,0,0,7.02
Natal Antecipado - Google,Social Media,Google Ads,2025-01-16,2025-03-04,5950.07,66978,424752,15.77,26248,0.23,10168,0.59,19327159.03,324722.38,0,4,11.11
Anúncio Institucional - Instagram,Tráfego Pago,Instagram Ads,2024-03-21,2024-04-06,6954.43,16237,196763,8.25,3766,1.85,1252,5.55,2396824.14,34364.71,0,0,0.0
Promoção Relâmpago - WhatsApp,Design,WhatsApp,2024-02-29,2024-04-27,9136.21,16436,110933,14.82,5863,1.56,620,14.74,174103.45,1805.64,0,0,6.33
Anúncio Institucional - Email,Social Media,Email Marketing,2023-05-26,2023-07-10,5404.47,6473,32963,19.64,598,9.04,425,12.72,409557.51,7478.13,0,9,8.45
Campanha de Engajamento - TikTok,Automações,TikTok Ads,2025-04-01,2025-05-30,7205.41,4632,142075,3.26,2096,3.44,774,9.31,1453417.18,20071.19,5,0,0.0
Captação de Leads - Facebook,Social Media,Facebook Ads,2024-03-09,2024-04-20,8464.13,13987,196276,7.13,6321,1.34,1338,6.33,2195166.51,25834.93,0,22,2.91
Natal Antecipado - WhatsApp,Design,WhatsApp,2025-06-05,2025-07-11,4388.38,4156,24353,17.07,1052,4.17,514,8.54,308499.81,6929.92,0,0,0.15
Natal Antecipado - Google,Automações,Google Ads,2024-02-21,2024-03-19,9504.39,77323,413783,18.69,20863,0.46,15828,0.6,7589596.24,79753.59,21,0,0.0
Anúncio Institucional - TikTok,Design,TikTok Ads,2023-06-12,2023-06-29,4807.92,22834,189644,12.04,1503,3.2,330,14.57,476807.34,9817.12,0,0,11.05
Anúncio Institucional - WhatsApp,Design,WhatsApp,2025-03-31,2025-05-19,3363.52,69483,357530,19.43,28733,0.12,15396,0.22,13363161.88,397196.94,0,0,7.49
Natal Antecipado - Facebook,Social Media,Facebook Ads,2025-03-14,2025-05-12,6155.27,9678,54299,17.82,2762,2.23,1306,4.71,406092.49,6497.48,0,19,1.07
Campanha de Conversão - Facebook,Tráfego Pago,Facebook Ads,2025-03-19,2025-05-02,5647.47,684,27017,2.53,0,0.0,0,0.0,0.0,-100.0,0,0,0.0
Natal Antecipado - Instagram,Copywriting,Instagram Ads,2025-02-09,2025-02-16,926.36,28361,322180,8.8,11977,0.08,10398,0.09,17526006.56,1891821.78,0,0,7.15
Captação de Leads - WhatsApp,Tráfego Pago,WhatsApp,2023-12-20,2024-01-19,9409.62,39803,211413,18.83,19799,0.48,3383,2.78,2464860.49,26095.11,0,0,0.0
Promoção Verão - Email,Tráfego Pago,Email Marketing,2023-06-06,2023-07-04,1681.59,82697,414915,19.93,6966,0.24,1871,0.9,1110814.99,65957.42,0,0,0.0
Captação de Leads - Instagram,Tráfego Pago,Instagram Ads,2023-09-29,2023-10-23,2075.16,2356,302395,0.78,385,5.39,224,9.26,364861.43,17482.33,0,0,0.0
Campanha de Engajamento - WhatsApp,Copywriting,WhatsApp,2023-10-21,2023-11-06,6588.51,20532,114232,17.97,6339,1.04,5626,1.17,2778275.38,42068.49,0,0,14.55
Captação de Leads - Facebook,Social Media,Facebook Ads,2023-05-14,2023-07-06,3009.08,32127,235213,13.66,611,4.92,313,9.61,129647.9,4208.56,0,9,5.6
Natal Antecipado - TikTok,Design,TikTok Ads,2023-04-26,2023-05-28,1041.44,6622,241824,2.74,818,1.27,398,2.62,162727.79,15525.27,0,0,14.95
Remarketing - Email,Design,Email Marketing,2024-12-02,2024-12-12,1215.18,64756,455529,14.22,16869,0.07,5677,0.21,10885163.84,895665.55,0,0,10.14
Anúncio Institucional - TikTok,Social Media,TikTok Ads,2023-08-21,2023-10-14,570.22,532,256910,0.21,154,3.7,124,4.6,118748.43,20725.02,0,1,4.58
Promoção Relâmpago - Google,Social Media,Google Ads,2024-09-19,2024-11-11,3216.23,1366,182694,0.75,224,14.36,148,21.73,236998.84,7268.84,0,5,6.74
Campanha de Engajamento - Instagram,Social Media,Instagram Ads,2023-02-06,2023-03-23,4121.4,50286,405648,12.4,228,18.08,117,35.23,135529.15,3188.43,0,16,5.85
Anúncio Institucional - Email,Copywriting,Email Marketing,2024-12-12,2025-01-13,690.47,10503,60387,17.39,4371,0.16,3298,0.21,5765861.34,834963.27,0,0,3.27
Lançamento Produto - Facebook,Automações,Facebook Ads,2023-08-16,2023-09-17,5037.75,16316,96754,16.86,3162,1.59,2511,2.01,2688732.21,53271.69,2,0,0.0
Anúncio Institucional - Google,Social Media,Google Ads,2024-11-26,2025-01-16,3577.71,50673,282238,17.95,20637,0.17,6415,0.56,4156159.05,116068.14,0,9,6.9
Campanha de Engajamento - TikTok,Social Media,TikTok Ads,2023-04-17,2023-05-08,8120.13,893,136266,0.66,228,35.61,30,270.67,20638.73,154.17,0,8,7.29
Natal Antecipado - Instagram,Design,Instagram Ads,2023-04-04,2023-05-04,2822.52,15893,497032,3.2,5430,0.52,4237,0.67,2503245.25,88588.31,0,0,6.58
Natal Antecipado - WhatsApp,Social Media,WhatsApp,2025-06-29,2025-08-01,5841.68,7315,239205,3.06,3457,1.69,3364,1.74,6477906.6,110791.16,0,13,8.32
Promoção Verão - Email,Copywriting,Email Marketing,2024-12-02,2025-01-02,8883.08,1582,16422,9.63,418,21.25,376,23.63,412274.35,4541.12,0,0,13.26
Captação de Leads - TikTok,Copywriting,TikTok Ads,2023-08-06,2023-09-09,4660.94,10459,65498,15.97,3603,1.29,3398,1.37,2915332.36,62448.16,0,0,8.35
Promoção Verão - Facebook,Copywriting,Facebook Ads,2025-05-23,2025-06-04,7751.54,1670,8690,19.22,746,10.39,678,11.43,705352.06,8999.51,0,0,2.3
Captação de Leads - Facebook,Tráfego Pago,Facebook Ads,2025-04-19,2025-06-15,4589.58,7502,64729,11.59,762,6.02,180,25.5,276970.69,5934.77,0,0,0.0
Promoção Relâmpago - Google,Tráfego Pago,Google Ads,2023-10-02,2023-10-22,2656.06,15102,87202,17.32,3776,0.7,3680,0.72,2737756.12,102975.84,0,0,0.0
